./asc:main.c:294: warning: auxv random bytes were not cleared
  Round	    PC	Excited	Hamming	   Loss	 Regret	    MSE	  Error	   MIPS
      0	400144	     48	42313.0	42313.0	42313.0	 0.1233	 100.00	  39.73
      1	40080a	     48	 1220.0	43525.0	21762.5	 0.1206	 100.00	 109.58
      2	40080a	     48	    8.0	43525.0	14508.3	 0.0804	 100.00	 182.73
      3	40080a	     48	   10.0	43527.0	10881.8	 0.0603	 100.00	 244.53
      4	40080a	     48	   10.0	43525.0	17410.4	 0.0483	 100.00	 296.56
      5	40080a	     48	    6.0	43531.0	21763.8	 0.0403	 100.00	 341.70
      6	40080a	     48	   12.0	43527.0	24872.9	 0.0406	 100.00	 381.59
      7	40080a	     48	    8.0	43531.0	27205.1	 0.0409	 100.00	 416.29
      8	40080a	     48	   10.0	43525.0	29018.4	 0.0365	 100.00	 447.40
      9	40080a	     48	    6.0	43527.0	30469.3	 0.0329	 100.00	 475.17
     10	40080a	     48	    8.0	43531.0	31656.7	 0.0337	 100.00	 500.27
     11	40080a	     48	   12.0	43527.0	32645.9	 0.0329	 100.00	 523.04
     12	40080a	     48	   12.0	43527.0	33482.9	 0.0313	 100.00	 548.75
     13	40080a	     48	    8.0	43527.0	34200.4	 0.0291	 100.00	 573.97
     14	40080a	     48	    8.0	43531.0	34822.4	 0.0271	 100.00	 598.31
     15	40080a	     48	    6.0	43533.0	35366.8	 0.0254	 100.00	 620.85
     16	40080a	     48	   12.0	43525.0	35846.7	 0.0240	 100.00	 641.93
     17	40080a	     48	    8.0	43529.0	36273.5	 0.0227	 100.00	 662.23
     18	40080a	     48	   10.0	43527.0	36655.3	 0.0215	 100.00	 681.06
     19	40080a	     48	    6.0	43533.0	36999.2	 0.0204	 100.00	 698.78
     20	40080a	     48	   10.0	43531.0	37310.2	 0.0194	 100.00	 715.15
     21	40080a	     48	   16.0	43527.0	37592.8	 0.0205	 100.00	 731.23
     22	40080a	     48	    8.0	43527.0	37850.8	 0.0196	 100.00	 746.57
     23	40080a	     48	    6.0	43533.0	38087.5	 0.0188	 100.00	 760.90
     24	40080a	     48	   10.0	43527.0	38305.1	 0.0180	 100.00	 777.06
     25	40080a	     48	    6.0	43529.0	38506.0	 0.0173	 100.00	 789.25
     26	40080a	     48	   14.0	43527.0	38692.0	 0.0167	 100.00	 800.77
     27	40080a	     48	    6.0	43529.0	38864.8	 0.0161	 100.00	 811.24
     28	40080a	     48	   10.0	43531.0	39025.7	 0.0156	 100.00	 821.76
     29	40080a	     48	    8.0	43531.0	39175.8	 0.0151	 100.00	 831.65
     30	40080a	     48	   10.0	43533.0	39316.4	 0.0146	 100.00	 841.18
     31	40080a	     48	   12.0	43529.0	39448.0	 0.0147	 100.00	 848.08
     32	40080a	     48	    8.0	43525.0	39571.6	 0.0143	 100.00	 855.07
     33	40080a	     48	    6.0	43531.0	39688.0	 0.0139	 100.00	 862.03
     34	40080a	     48	   10.0	43529.0	39797.8	 0.0135	 100.00	 867.45
     35	40080a	     48	    8.0	43533.0	39901.5	 0.0131	 100.00	 874.18
     36	40080a	     48	   14.0	43527.0	39999.5	 0.0128	 100.00	 880.43
     37	40080a	     48	    6.0	43533.0	40092.5	 0.0124	 100.00	 886.56
     38	40080a	     48	    8.0	43533.0	40180.7	 0.0121	 100.00	 892.36
     39	40080a	     48	   10.0	43535.0	40264.6	 0.0119	 100.00	 898.20
     40	40080a	     48	    8.0	43531.0	40344.2	 0.0116	 100.00	 903.84
     41	40080a	     48	   16.0	43523.0	40419.9	 0.0130	 100.00	 909.16
     42	40080a	     48	    8.0	43527.0	40492.2	 0.0127	 100.00	 913.64
     43	40080a	     48	    6.0	43529.0	40561.2	 0.0124	 100.00	 918.23
     44	40080a	     48	   14.0	43527.0	40627.1	 0.0122	 100.00	 922.10
     45	40080a	     48	    6.0	43529.0	40690.2	 0.0120	 100.00	 926.57
     46	40080a	     48	    8.0	43533.0	40750.7	 0.0120	 100.00	 930.65
     47	40080a	     48	   10.0	43531.0	40808.6	 0.0123	 100.00	 934.77
     48	40080a	     48	    8.0	43527.0	40864.1	 0.0125	 100.00	 938.33
     49	40080a	     48	   10.0	43529.0	40917.4	 0.0122	 100.00	 942.04
     50	40080a	     48	    8.0	43529.0	40968.6	 0.0120	 100.00	 945.59
     51	40080a	     48	    6.0	43535.0	41017.9	 0.0118	 100.00	 948.06
     52	40080a	     48	   16.0	43527.0	41065.3	 0.0120	 100.00	 951.62
     53	40080a	     48	    8.0	43531.0	41110.9	 0.0117	 100.00	 955.25
     54	40080a	     48	   10.0	43529.0	41154.9	 0.0115	 100.00	 958.72
     55	40080a	     48	    6.0	43535.0	41197.4	 0.0113	 100.00	 961.90
     56	40080a	     48	    8.0	43531.0	41238.4	 0.0111	 100.00	 965.43
     57	40080a	     48	   10.0	43529.0	41277.8	 0.0115	 100.00	 968.48
     58	40080a	     48	   10.0	43531.0	41316.0	 0.0113	 100.00	 971.45
     59	40080a	     48	    8.0	43531.0	41352.9	 0.0111	 100.00	 974.46
     60	40080a	     48	   10.0	43533.0	41388.7	 0.0111	 100.00	 977.37
     61	40080a	     48	    6.0	43535.0	41423.3	 0.0109	 100.00	 980.28
     62	40080a	     48	   18.0	43529.0	41456.7	 0.0116	 100.00	 984.19
     63	40080a	     48	    6.0	43531.0	41489.1	 0.0114	 100.00	 987.82
     64	40080a	     48	   10.0	43525.0	41520.5	 0.0113	 100.00	 991.25
     65	40080a	     48	    6.0	43531.0	41550.9	 0.0111	 100.00	 994.47
     66	40080a	     48	    8.0	43531.0	41580.5	 0.0110	 100.00	 997.64
     67	40080a	     48	   12.0	43531.0	41609.2	 0.0109	 100.00	1000.87
     68	40080a	     48	   10.0	43529.0	41637.0	 0.0107	 100.00	1003.98
     69	40080a	     48	    6.0	43535.0	41664.1	 0.0106	 100.00	1006.88
     70	40080a	     48	   10.0	43533.0	41690.4	 0.0111	 100.00	1009.86
     71	40080a	     48	    8.0	43537.0	41716.1	 0.0110	 100.00	1012.80
     72	40080a	     48	   14.0	43527.0	41740.9	 0.0120	 100.00	1014.49
     73	40080a	     48	    6.0	43529.0	41765.0	 0.0120	 100.00	1016.46
     74	40080a	     48	    8.0	43533.0	41788.6	 0.0119	 100.00	1018.32
     75	40080a	     48	    8.0	43533.0	41811.6	 0.0117	 100.00	1020.24
     76	40080a	     48	   12.0	43533.0	41833.9	 0.0116	 100.00	1022.08
     77	40080a	     48	   10.0	43531.0	41855.7	 0.0116	 100.00	1023.90
     78	40080a	     48	    8.0	43535.0	41876.9	 0.0114	 100.00	1025.69
     79	40080a	     48	    6.0	43537.0	41897.7	 0.0113	 100.00	1027.37
     80	40080a	     48	   10.0	43531.0	41917.9	 0.0112	 100.00	1029.04
     81	40080a	     48	    8.0	43535.0	41937.6	 0.0110	 100.00	1030.80
     82	40080a	     48	   20.0	43523.0	41956.7	 0.0128	 100.00	1032.60
     83	40080a	     48	    6.0	43529.0	41975.4	 0.0126	 100.00	1034.81
     84	40080a	     48	   10.0	43527.0	41993.6	 0.0125	 100.00	1037.48
     85	40080a	     48	   10.0	43529.0	42011.5	 0.0123	 100.00	1040.09
     86	40080a	     48	    8.0	43529.0	42028.9	 0.0122	 100.00	1043.08
     87	40080a	     48	    6.0	43535.0	42046.1	 0.0122	 100.00	1045.36
     88	40080a	     48	   12.0	43527.0	42062.7	 0.0122	 100.00	1047.48
     89	40080a	     48	    6.0	43529.0	42079.0	 0.0120	 100.00	1049.59
     90	40080a	     48	   12.0	43529.0	42094.9	 0.0119	 100.00	1051.36
     91	40080a	     48	    6.0	43531.0	42110.5	 0.0118	 100.00	1053.39
     92	40080a	     48	   10.0	43533.0	42125.8	 0.0119	 100.00	1055.33
     93	40080a	     48	   12.0	43529.0	42140.8	 0.0117	 100.00	1057.27
     94	40080a	     48	   10.0	43531.0	42155.4	 0.0116	 100.00	1057.90
     95	40080a	     48	    8.0	43531.0	42169.7	 0.0115	 100.00	1059.18
     96	40080a	     48	    8.0	43527.0	42183.7	 0.0117	 100.00	1060.36
     97	40080a	     48	    6.0	43533.0	42197.5	 0.0116	 100.00	1061.45
     98	40080a	     48	   12.0	43529.0	42210.9	 0.0117	 100.00	1062.30
     99	40080a	     48	    8.0	43533.0	42224.2	 0.0116	 100.00	1063.40
    100	40080a	     48	   12.0	43529.0	42237.1	 0.0115	 100.00	1064.31
    101	40080a	     48	    6.0	43535.0	42249.8	 0.0114	 100.00	1065.44
    102	40080a	     48	    8.0	43535.0	42262.3	 0.0113	 100.00	1066.54
    103	40080a	     48	   16.0	43531.0	42274.5	 0.0116	 100.00	1067.65
    104	40080a	     48	    8.0	43527.0	42286.4	 0.0115	 100.00	1068.48
    105	40080a	     48	    8.0	43527.0	42298.1	 0.0114	 100.00	1069.38
    106	40080a	     48	    8.0	43531.0	42309.6	 0.0113	 100.00	1070.20
    107	40080a	     48	    6.0	43533.0	42321.0	 0.0111	 100.00	1070.77
    108	40080a	     48	   16.0	43529.0	42332.0	 0.0114	 100.00	1071.63
    109	40080a	     48	    6.0	43531.0	42342.9	 0.0113	 100.00	1072.42
    110	40080a	     48	    8.0	43535.0	42353.7	 0.0112	 100.00	1073.19
    111	40080a	     48	    8.0	43535.0	42364.2	 0.0111	 100.00	1073.91
    112	40080a	     48	    8.0	43531.0	42374.5	 0.0112	 100.00	1074.67
    113	40080a	     48	   14.0	43529.0	42384.7	 0.0113	 100.00	1075.47
    114	40080a	     48	    8.0	43529.0	42394.6	 0.0112	 100.00	1075.75
    115	40080a	     48	    6.0	43535.0	42404.5	 0.0111	 100.00	1076.61
    116	40080a	     48	   12.0	43531.0	42414.1	 0.0110	 100.00	1077.43
    117	40080a	     48	    8.0	43535.0	42423.6	 0.0109	 100.00	1078.27
    118	40080a	     48	   12.0	43531.0	42432.9	 0.0109	 100.00	1079.00
    119	40080a	     48	    6.0	43537.0	42442.1	 0.0108	 100.00	1079.81
    120	40080a	     48	    8.0	43533.0	42451.1	 0.0107	 100.00	1080.56
    121	40080a	     48	    8.0	43533.0	42460.0	 0.0107	 100.00	1081.38
    122	40080a	     48	   10.0	43535.0	42468.7	 0.0106	 100.00	1082.15
    123	40080a	     48	   16.0	43527.0	42477.2	 0.0111	 100.00	1082.95
    124	40080a	     48	   10.0	43529.0	42485.7	 0.0112	 100.00	1083.91
    125	40080a	     48	    6.0	43531.0	42494.0	 0.0111	 100.00	1085.42
    126	40080a	     48	   12.0	43531.0	42502.1	 0.0113	 100.00	1086.67
    127	40080a	     48	    6.0	43533.0	42510.2	 0.0112	 100.00	1087.95
    128	40080a	     48	   12.0	43525.0	42518.0	 0.0117	 100.00	1089.13
    129	40080a	     48	    6.0	43531.0	42525.8	 0.0116	 100.00	1090.31
    130	40080a	     48	    8.0	43531.0	42533.5	 0.0116	 100.00	1091.51
    131	40080a	     48	   10.0	43533.0	42541.1	 0.0115	 100.00	1092.74
    132	40080a	     48	   10.0	43531.0	42548.5	 0.0114	 100.00	1093.75
    133	40080a	     48	    6.0	43537.0	42555.9	 0.0113	 100.00	1094.91
    134	40080a	     48	   14.0	43531.0	42563.1	 0.0116	 100.00	1096.05
    135	40080a	     48	    8.0	43535.0	42570.3	 0.0115	 100.00	1096.41
    136	40080a	     48	   10.0	43529.0	42577.3	 0.0116	 100.00	1097.06
    137	40080a	     48	    6.0	43531.0	42584.2	 0.0115	 100.00	1097.67
    138	40080a	     48	    8.0	43535.0	42591.0	 0.0115	 100.00	1098.25
    139	40080a	     48	   10.0	43533.0	42597.8	 0.0117	 100.00	1098.83
    140	40080a	     48	   12.0	43533.0	42604.4	 0.0116	 100.00	1099.39
    141	40080a	     48	    8.0	43533.0	42610.9	 0.0115	 100.00	1099.97
    142	40080a	     48	    8.0	43537.0	42617.4	 0.0114	 100.00	1100.52
    143	40080a	     48	    6.0	43539.0	42623.8	 0.0114	 100.00	1101.22
    144	40080a	     48	   16.0	43527.0	42630.0	 0.0113	 100.00	1101.72
    145	40080a	     48	    8.0	43531.0	42636.2	 0.0112	 100.00	1102.30
    146	40080a	     48	   10.0	43529.0	42642.3	 0.0111	 100.00	1103.35
    147	40080a	     48	    6.0	43535.0	42648.3	 0.0111	 100.00	1104.64
    148	40080a	     48	   10.0	43533.0	42654.2	 0.0110	 100.00	1105.88
    149	40080a	     48	   12.0	43533.0	42660.1	 0.0109	 100.00	1107.20
    150	40080a	     48	    8.0	43533.0	42665.9	 0.0109	 100.00	1108.29
    151	40080a	     48	    6.0	43539.0	42671.6	 0.0108	 100.00	1109.27
    152	40080a	     48	   10.0	43533.0	42677.3	 0.0107	 100.00	1110.21
    153	40080a	     48	    6.0	43535.0	42682.8	 0.0106	 100.00	1111.11
    154	40080a	     48	   16.0	43531.0	42688.3	 0.0106	 100.00	1112.01
    155	40080a	     48	    6.0	43533.0	42693.7	 0.0105	 100.00	1112.94
    156	40080a	     48	   10.0	43535.0	42699.1	 0.0108	 100.00	1113.85
    157	40080a	     48	    8.0	43535.0	42704.4	 0.0107	 100.00	1114.03
    158	40080a	     48	   10.0	43537.0	42709.6	 0.0106	 100.00	1114.36
    159	40080a	     48	   10.0	43535.0	42714.8	 0.0109	 100.00	1114.72
    160	40080a	     48	    8.0	43531.0	42719.8	 0.0108	 100.00	1114.62
    161	40080a	     48	    6.0	43537.0	42724.9	 0.0107	 100.00	1115.19
    162	40080a	     48	   10.0	43535.0	42729.8	 0.0107	 100.00	1115.51
    163	40080a	     48	    8.0	43539.0	42734.8	 0.0106	 100.00	1115.94
    164	40080a	     48	   24.0	43523.0	42739.6	 0.0116	 100.00	1116.28
    165	40080a	     48	    6.0	43529.0	42744.3	 0.0116	 100.00	1116.78
    166	40080a	     48	    8.0	43529.0	42749.0	 0.0115	 100.00	1117.21
    167	40080a	     48	   10.0	43531.0	42753.7	 0.0114	 100.00	1117.47
    168	40080a	     48	    8.0	43527.0	42758.2	 0.0114	 100.00	1117.72
    169	40080a	     48	   10.0	43525.0	42762.7	 0.0113	 100.00	1118.01
    170	40080a	     48	    8.0	43529.0	42767.2	 0.0112	 100.00	1118.13
    171	40080a	     48	    6.0	43531.0	42771.7	 0.0112	 100.00	1118.43
    172	40080a	     48	   14.0	43529.0	42776.0	 0.0111	 100.00	1118.71
    173	40080a	     48	    6.0	43531.0	42780.4	 0.0110	 100.00	1118.98
    174	40080a	     48	    8.0	43535.0	42784.7	 0.0110	 100.00	1119.16
    175	40080a	     48	   12.0	43531.0	42788.9	 0.0110	 100.00	1119.47
    176	40080a	     48	    8.0	43527.0	42793.1	 0.0110	 100.00	1119.70
    177	40080a	     48	   10.0	43529.0	42797.2	 0.0111	 100.00	1119.70
    178	40080a	     48	    8.0	43529.0	42801.3	 0.0111	 100.00	1120.16
    179	40080a	     48	    6.0	43535.0	42805.4	 0.0110	 100.00	1120.51
    180	40080a	     48	   14.0	43529.0	42809.4	 0.0110	 100.00	1120.83
    181	40080a	     48	    8.0	43533.0	42813.4	 0.0109	 100.00	1121.11
    182	40080a	     48	   10.0	43531.0	42817.3	 0.0108	 100.00	1121.46
    183	40080a	     48	    6.0	43537.0	42821.2	 0.0108	 100.00	1121.81
    184	40080a	     48	    8.0	43533.0	42825.1	 0.0107	 100.00	1122.11
    185	40080a	     48	   14.0	43527.0	42828.8	 0.0109	 100.00	1122.60
    186	40080a	     48	   10.0	43529.0	42832.6	 0.0108	 100.00	1122.93
    187	40080a	     48	    8.0	43529.0	42836.3	 0.0108	 100.00	1123.54
    188	40080a	     48	   10.0	43531.0	42840.0	 0.0107	 100.00	1124.34
    189	40080a	     48	    6.0	43533.0	42843.6	 0.0106	 100.00	1125.03
    190	40080a	     48	   14.0	43531.0	42847.2	 0.0106	 100.00	1125.72
    191	40080a	     48	    6.0	43533.0	42850.8	 0.0106	 100.00	1126.34
    192	40080a	     48	   10.0	43527.0	42854.3	 0.0106	 100.00	1127.00
    193	40080a	     48	    6.0	43533.0	42857.8	 0.0106	 100.00	1127.69
    194	40080a	     48	    8.0	43533.0	42861.2	 0.0105	 100.00	1128.37
    195	40080a	     48	   14.0	43531.0	42864.7	 0.0105	 100.00	1128.99
    196	40080a	     48	   10.0	43529.0	42868.0	 0.0104	 100.00	1129.67
    197	40080a	     48	    6.0	43535.0	42871.4	 0.0104	 100.00	1130.34
    198	40080a	     48	   10.0	43533.0	42874.7	 0.0104	 100.00	1130.59
    199	40080a	     48	    8.0	43537.0	42878.0	 0.0103	 100.00	1130.81
    200	40080a	     48	   12.0	43529.0	42881.3	 0.0103	 100.00	1131.11
    201	40080a	     48	    6.0	43531.0	42884.5	 0.0103	 100.00	1131.29
    202	40080a	     48	    8.0	43535.0	42887.7	 0.0103	 100.00	1131.57
    203	40080a	     48	    8.0	43535.0	42890.9	 0.0103	 100.00	1131.84
    204	40080a	     48	   12.0	43535.0	42894.0	 0.0103	 100.00	1132.07
    205	40080a	     48	   16.0	43527.0	42897.1	 0.0103	 100.00	1132.26
    206	40080a	     48	    8.0	43531.0	42900.1	 0.0103	 100.00	1132.59
    207	40080a	     48	    6.0	43533.0	42903.2	 0.0102	 100.00	1132.87
    208	40080a	     48	   10.0	43527.0	42906.2	 0.0103	 100.00	1133.12
    209	40080a	     48	    8.0	43531.0	42909.1	 0.0103	 100.00	1133.65
    210	40080a	     48	   12.0	43527.0	42912.1	 0.0103	 100.00	1134.44
    211	40080a	     48	    6.0	43533.0	42915.0	 0.0102	 100.00	1135.24
    212	40080a	     48	   10.0	43531.0	42917.9	 0.0102	 100.00	1135.99
    213	40080a	     48	   10.0	43533.0	42920.8	 0.0101	 100.00	1136.79
    214	40080a	     48	    8.0	43533.0	42923.6	 0.0101	 100.00	1137.27
    215	40080a	     48	    6.0	43539.0	42926.5	 0.0103	 100.00	1137.90
    216	40080a	     48	   14.0	43529.0	42929.2	 0.0106	 100.00	1138.46
    217	40080a	     48	    6.0	43531.0	42932.0	 0.0105	 100.00	1139.02
    218	40080a	     48	   12.0	43531.0	42934.7	 0.0106	 100.00	1139.60
    219	40080a	     48	    6.0	43533.0	42937.5	 0.0105	 100.00	1140.21
    220	40080a	     48	   10.0	43535.0	42940.2	 0.0105	 100.00	1140.26
    221	40080a	     48	   10.0	43533.0	42942.8	 0.0105	 100.00	1140.42
    222	40080a	     48	   10.0	43535.0	42945.5	 0.0104	 100.00	1140.57
    223	40080a	     48	    8.0	43535.0	42948.1	 0.0104	 100.00	1140.57
    224	40080a	     48	    8.0	43531.0	42950.7	 0.0104	 100.00	1140.82
    225	40080a	     48	    6.0	43537.0	42953.3	 0.0104	 100.00	1141.14
    226	40080a	     48	   16.0	43529.0	42955.8	 0.0105	 100.00	1141.34
    227	40080a	     48	    8.0	43533.0	42958.4	 0.0104	 100.00	1141.55
    228	40080a	     48	   12.0	43529.0	42960.9	 0.0104	 100.00	1141.85
    229	40080a	     48	    6.0	43535.0	42963.4	 0.0104	 100.00	1142.14
    230	40080a	     48	    8.0	43535.0	42965.8	 0.0103	 100.00	1142.41
    231	40080a	     48	   12.0	43535.0	42968.3	 0.0104	 100.00	1142.56
    232	40080a	     48	    8.0	43531.0	42970.7	 0.0103	 100.00	1142.68
    233	40080a	     48	    8.0	43531.0	42973.1	 0.0103	 100.00	1142.82
    234	40080a	     48	    8.0	43535.0	42975.5	 0.0102	 100.00	1142.90
    235	40080a	     48	    6.0	43537.0	42977.9	 0.0102	 100.00	1143.02
    236	40080a	     48	   18.0	43531.0	42980.2	 0.0102	 100.00	1143.13
    237	40080a	     48	    6.0	43533.0	42982.5	 0.0101	 100.00	1143.20
    238	40080a	     48	    8.0	43537.0	42984.8	 0.0104	 100.00	1143.32
    239	40080a	     48	    8.0	43537.0	42987.1	 0.0104	 100.00	1143.44
    240	40080a	     48	    8.0	43533.0	42989.4	 0.0107	 100.00	1143.35
    241	40080a	     48	   12.0	43533.0	42991.7	 0.0107	 100.00	1143.62
    242	40080a	     48	    8.0	43533.0	42993.9	 0.0107	 100.00	1143.89
    243	40080a	     48	    6.0	43539.0	42996.1	 0.0106	 100.00	1144.19
    244	40080a	     48	   12.0	43535.0	42998.3	 0.0108	 100.00	1144.34
    245	40080a	     48	    8.0	43539.0	43000.5	 0.0107	 100.00	1144.61
    246	40080a	     48	   20.0	43527.0	43002.6	 0.0110	 100.00	1144.88
    247	40080a	     48	    6.0	43533.0	43004.8	 0.0110	 100.00	1145.06
    248	40080a	     48	    8.0	43529.0	43006.9	 0.0109	 100.00	1145.32
    249	40080a	     48	    8.0	43529.0	43009.0	 0.0109	 100.00	1145.59
    250	40080a	     48	   10.0	43531.0	43011.1	 0.0108	 100.00	1145.86
    251	40080a	     48	   10.0	43529.0	43013.1	 0.0108	 100.00	1146.21
    252	40080a	     48	   10.0	43531.0	43015.2	 0.0107	 100.00	1146.84
    253	40080a	     48	    6.0	43533.0	43017.2	 0.0107	 100.00	1147.47
    254	40080a	     48	   12.0	43533.0	43019.2	 0.0107	 100.00	1148.11
    255	40080a	     48	    6.0	43535.0	43021.2	 0.0106	 100.00	1148.71
    256	40080a	     48	   14.0	43525.0	43023.2	 0.0110	 100.00	1149.34
    257	40080a	     48	    6.0	43531.0	43025.2	 0.0109	 100.00	1149.96
    258	40080a	     48	    8.0	43531.0	43027.1	 0.0109	 100.00	1150.56
    259	40080a	     48	   10.0	43533.0	43029.1	 0.0108	 100.00	1151.19
    260	40080a	     48	   10.0	43531.0	43031.0	 0.0108	 100.00	1151.61
    261	40080a	     48	    6.0	43537.0	43032.9	 0.0108	 100.00	1152.09
    262	40080a	     48	   12.0	43533.0	43034.8	 0.0110	 100.00	1152.07
    263	40080a	     48	    8.0	43537.0	43036.7	 0.0110	 100.00	1152.31
    264	40080a	     48	   10.0	43531.0	43038.6	 0.0110	 100.00	1152.56
    265	40080a	     48	    6.0	43533.0	43040.4	 0.0109	 100.00	1152.71
    266	40080a	     48	    8.0	43537.0	43042.3	 0.0109	 100.00	1152.82
    267	40080a	     48	   14.0	43531.0	43044.1	 0.0110	 100.00	1153.04
    268	40080a	     48	   12.0	43531.0	43045.9	 0.0109	 100.00	1153.27
    269	40080a	     48	    8.0	43531.0	43047.7	 0.0109	 100.00	1153.50
    270	40080a	     48	    8.0	43535.0	43049.5	 0.0109	 100.00	1153.72
    271	40080a	     48	    6.0	43537.0	43051.3	 0.0108	 100.00	1153.96
    272	40080a	     48	   12.0	43529.0	43053.1	 0.0108	 100.00	1154.17
    273	40080a	     48	    8.0	43533.0	43054.8	 0.0107	 100.00	1154.49
    274	40080a	     48	   10.0	43531.0	43056.6	 0.0107	 100.00	1155.04
    275	40080a	     48	    6.0	43537.0	43058.3	 0.0107	 100.00	1155.61
    276	40080a	     48	   10.0	43535.0	43060.0	 0.0106	 100.00	1156.17
    277	40080a	     48	   14.0	43533.0	43061.7	 0.0106	 100.00	1156.74
    278	40080a	     48	    8.0	43533.0	43063.4	 0.0106	 100.00	1157.13
    279	40080a	     48	    6.0	43539.0	43065.1	 0.0105	 100.00	1157.56
    280	40080a	     48	   10.0	43533.0	43066.8	 0.0105	 100.00	1157.91
    281	40080a	     48	    6.0	43535.0	43068.4	 0.0105	 100.00	1158.29
    282	40080a	     48	   14.0	43533.0	43070.1	 0.0105	 100.00	1158.68
    283	40080a	     48	    6.0	43535.0	43071.7	 0.0105	 100.00	1159.07
    284	40080a	     48	   10.0	43537.0	43073.3	 0.0104	 100.00	1159.09
    285	40080a	     48	    8.0	43537.0	43075.0	 0.0104	 100.00	1159.15
    286	40080a	     48	   10.0	43539.0	43076.6	 0.0105	 100.00	1159.19
    287	40080a	     48	   16.0	43531.0	43078.2	 0.0105	 100.00	1159.13
    288	40080a	     48	    8.0	43527.0	43079.7	 0.0105	 100.00	1159.26
    289	40080a	     48	    6.0	43533.0	43081.3	 0.0104	 100.00	1159.44
    290	40080a	     48	   10.0	43531.0	43082.8	 0.0104	 100.00	1159.54
    291	40080a	     48	    8.0	43535.0	43084.4	 0.0104	 100.00	1159.59
    292	40080a	     48	   14.0	43529.0	43085.9	 0.0103	 100.00	1159.69
    293	40080a	     48	    6.0	43535.0	43087.4	 0.0103	 100.00	1159.79
    294	40080a	     48	    8.0	43535.0	43088.9	 0.0103	 100.00	1159.96
    295	40080a	     48	   10.0	43537.0	43090.4	 0.0102	 100.00	1160.02
    296	40080a	     48	    8.0	43533.0	43091.9	 0.0102	 100.00	1160.07
    297	40080a	     48	   12.0	43529.0	43093.4	 0.0103	 100.00	1160.14
    298	40080a	     48	    8.0	43533.0	43094.9	 0.0102	 100.00	1160.17
    299	40080a	     48	    6.0	43535.0	43096.3	 0.0102	 100.00	1160.25
    300	40080a	     48	   14.0	43533.0	43097.8	 0.0102	 100.00	1160.29
    301	40080a	     48	    6.0	43535.0	43099.2	 0.0102	 100.00	1160.33
    302	40080a	     48	    8.0	43539.0	43100.7	 0.0101	 100.00	1160.38
    303	40080a	     48	   10.0	43537.0	43102.1	 0.0102	 100.00	1160.46
    304	40080a	     48	    8.0	43533.0	43103.5	 0.0101	 100.00	1160.36
    305	40080a	     48	   10.0	43535.0	43105.0	 0.0101	 100.00	1160.49
    306	40080a	     48	    8.0	43535.0	43106.4	 0.0101	 100.00	1160.69
    307	40080a	     48	    6.0	43541.0	43107.8	 0.0101	 100.00	1160.89
    308	40080a	     48	   18.0	43531.0	43109.1	 0.0101	 100.00	1160.98
    309	40080a	     48	    8.0	43535.0	43110.5	 0.0101	 100.00	1161.16
    310	40080a	     48	   10.0	43533.0	43111.9	 0.0101	 100.00	1161.35
    311	40080a	     48	    6.0	43539.0	43113.2	 0.0100	 100.00	1161.54
    312	40080a	     48	    8.0	43535.0	43114.6	 0.0100	 100.00	1161.67
    313	40080a	     48	   10.0	43533.0	43115.9	 0.0100	 100.00	1161.77
    314	40080a	     48	   10.0	43535.0	43117.2	 0.0100	 100.00	1161.95
    315	40080a	     48	    8.0	43535.0	43118.6	 0.0099	 100.00	1162.16
    316	40080a	     48	   10.0	43537.0	43119.9	 0.0099	 100.00	1162.64
    317	40080a	     48	    6.0	43539.0	43121.2	 0.0099	 100.00	1163.13
    318	40080a	     48	   16.0	43535.0	43122.5	 0.0100	 100.00	1163.60
    319	40080a	     48	    6.0	43537.0	43123.8	 0.0100	 100.00	1164.06
    320	40080a	     48	   10.0	43531.0	43125.1	 0.0099	 100.00	1164.53
    321	40080a	     48	    6.0	43537.0	43126.3	 0.0099	 100.00	1165.01
    322	40080a	     48	    8.0	43537.0	43127.6	 0.0099	 100.00	1165.46
    323	40080a	     48	   12.0	43537.0	43128.9	 0.0100	 100.00	1165.95
    324	40080a	     48	   10.0	43535.0	43130.1	 0.0099	 100.00	1166.28
    325	40080a	     48	    6.0	43541.0	43131.4	 0.0099	 100.00	1166.60
    326	40080a	     48	   10.0	43539.0	43132.6	 0.0099	 100.00	1166.61
    327	40080a	     48	    8.0	43543.0	43133.9	 0.0099	 100.00	1166.72
    328	40080a	     48	   24.0	43523.0	43135.1	 0.0102	 100.00	1166.87
    329	40080a	     48	    6.0	43525.0	43136.3	 0.0102	 100.00	1166.95
    330	40080a	     48	    8.0	43529.0	43137.4	 0.0102	 100.00	1167.01
    331	40080a	     48	    8.0	43529.0	43138.6	 0.0101	 100.00	1167.16
    332	40080a	     48	   12.0	43529.0	43139.8	 0.0101	 100.00	1167.26
    333	40080a	     48	   10.0	43527.0	43140.9	 0.0101	 100.00	1167.38
    334	40080a	     48	    8.0	43531.0	43142.1	 0.0101	 100.00	1167.52
    335	40080a	     48	    6.0	43533.0	43143.3	 0.0100	 100.00	1167.59
    336	40080a	     48	   10.0	43527.0	43144.4	 0.0100	 100.00	1167.65
    337	40080a	     48	    8.0	43531.0	43145.6	 0.0100	 100.00	1167.90
    338	40080a	     48	   14.0	43525.0	43146.7	 0.0099	 100.00	1168.33
